,date_beach_address,height_high_tide_max,height_high_tide_min,height_high_tide_mean,date,beach_address,beach_name,country_state,country,latitude,longitude
0,2020-04-27|1 km off Blacks Beach Queensland AUSTRALIA,1.8309453036739973,0.8576747120256168,1.3443100078498071,2020-04-27,1 km off Blacks Beach Queensland AUSTRALIA,1 km off Black's Beach,Queensland,AUSTRALIA,-21.062778,149.1875
1,2020-04-27|10 miles off Nambucca Heads onboard trawler New South Wales AUSTRALIA,0.6774000626515478,0.26865370088661383,0.4730268817690808,2020-04-27,10 miles off Nambucca Heads onboard trawler New South Wales AUSTRALIA,10 miles off Nambucca Heads onboard trawler,New South Wales,AUSTRALIA,-30.6419702,152.9978834
2,2020-04-27|15 km north of Lancelin north of Perth Western Australia AUSTRALIA,0.28960614622747627,0.28960614622747627,0.28960614622747627,2020-04-27,15 km north of Lancelin north of Perth Western Australia AUSTRALIA,15 km north of Lancelin,Western Australia,AUSTRALIA,-31.045409799999998,115.35327749999999
3,2020-04-27|15 miles off shore New South Wales AUSTRALIA,0.6355798142935767,0.2680053633814164,0.4517925888374965,2020-04-27,15 miles off shore New South Wales AUSTRALIA,1.5 miles off shore,New South Wales,AUSTRALIA,-31.2532183,146.921099
4,2020-04-27|15 miles up the Cataract River New South Wales AUSTRALIA,0.6215833286465757,0.2657618083329014,0.4436725684897386,2020-04-27,15 miles up the Cataract River New South Wales AUSTRALIA,15 miles up the Cataract River,New South Wales,AUSTRALIA,-34.229766399999995,150.7616844
5,2020-04-27|150 yards from the pier at Lorne Victoria AUSTRALIA,0.9859638624523726,0.574962519780101,0.7804631911162367,2020-04-27,150 yards from the pier at Lorne Victoria AUSTRALIA,150 yards from the pier at Lorne,Victoria,AUSTRALIA,-38.5366556,143.97154840000002
6,2020-04-27|18 km west of Bunbury Western Australia AUSTRALIA,0.3122983325960037,-0.1905019885415189,0.006263037516321068,2020-04-27,18 km west of Bunbury Western Australia AUSTRALIA,18 km west of Bunbury,Western Australia,AUSTRALIA,-33.3209971,115.63834820000001
7,2020-04-27|18 miles south of Port Augusta South Australia AUSTRALIA,1.4229996295794327,0.4914573479566893,0.957228488768061,2020-04-27,18 miles south of Port Augusta South Australia AUSTRALIA,18 miles south of Port Augusta,South Australia,AUSTRALIA,-32.495233899999995,137.78943940000002
8,2020-04-27|20 k off The Spit off the Gold Coast Queensland AUSTRALIA,0.6935481343760407,0.23871970085715125,0.46613391761659595,2020-04-27,20 k off The Spit off the Gold Coast Queensland AUSTRALIA,20 k off The Spit,Queensland,AUSTRALIA,-27.9352516,153.43347680000002
9,2020-04-27|20 miles off Sydney New South Wales AUSTRALIA,0.6301111883701325,0.26727403227672736,0.4486926103234299,2020-04-27,20 miles off Sydney New South Wales AUSTRALIA,20 miles off Sydney,New South Wales,AUSTRALIA,-33.8688197,151.2092955
10,2020-04-27|200 km east of Coolangatta Queensland AUSTRALIA,0.6913159931144682,0.2443001421961685,0.46780806765531835,2020-04-27,200 km east of Coolangatta Queensland AUSTRALIA,200 km east of Coolangatta,Queensland,AUSTRALIA,-28.166666999999997,153.533333
11,2020-04-27|200 miles offshore Queensland AUSTRALIA,1.1374872810989651,1.1374872810989651,1.1374872810989651,2020-04-27,200 miles offshore Queensland AUSTRALIA,200 miles offshore,Queensland,AUSTRALIA,-20.9175738,142.7027956
12,2020-04-27|26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,0.6761858989897122,0.2637384517811172,0.4699621753854147,2020-04-27,26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,26 nautical miles out to sea off Lake Macquarie,New South Wales,AUSTRALIA,-31.433333,152.9
13,2020-04-27|3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,0.6577908757305937,-0.01314007118545959,0.32232540227256706,2020-04-27,3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,3 km off Port Victoria,South Australia,AUSTRALIA,-34.496666999999995,137.48333300000002
14,2020-04-27|3 km west of Rottnest Island Western Australia AUSTRALIA,0.2897549208781969,0.2897549208781969,0.2897549208781969,2020-04-27,3 km west of Rottnest Island Western Australia AUSTRALIA,3 km west of Rottnest Island,Western Australia,AUSTRALIA,-32.0063677,115.5073002
15,2020-04-27|3 miles out to sea off Glenelg South Australia AUSTRALIA,1.2229269066420179,0.5934095279857922,0.908168217313905,2020-04-27,3 miles out to sea off Glenelg South Australia AUSTRALIA,3 miles out to sea off Glenelg,South Australia,AUSTRALIA,-34.982,138.516
16,2020-04-27|5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,0.6008189701062202,0.2619694282202667,0.43139419916324345,2020-04-27,5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,5 miles south of Sussex Inlet at mouth of Berara Lake,New South Wales,AUSTRALIA,-35.206926200000005,150.5515985
17,2020-04-27|5 nm off Cervantes Western Australia AUSTRALIA,1.9683243135963306,1.2345038006490567,1.6014140571226938,2020-04-27,5 nm off Cervantes Western Australia AUSTRALIA,5 nm off Cervantes,Western Australia,AUSTRALIA,34.5199402,-105.87009009999998
18,2020-04-27|50 km east of Townsville Queensland AUSTRALIA,0.5935453107462618,0.2034404786045329,0.3984928946753974,2020-04-27,50 km east of Townsville Queensland AUSTRALIA,50 km east of Townsville,Queensland,AUSTRALIA,-19.2589635,146.8169483
19,2020-04-27|55 miles south of Adelaide South Australia AUSTRALIA,1.2229269066420179,0.5934095279857922,0.908168217313905,2020-04-27,55 miles south of Adelaide South Australia AUSTRALIA,55 miles south of Adelaide,South Australia,AUSTRALIA,-34.9284989,138.6007456
20,2020-04-27|6 km off Collendina south of Melbourne Victoria AUSTRALIA,0.29863112175202067,0.20334629835755516,0.2509887100547879,2020-04-27,6 km off Collendina south of Melbourne Victoria AUSTRALIA,6 km off Collendina,Victoria,AUSTRALIA,-37.835,144.96
21,2020-04-27|7 Mile Beach Gerroa New South Wales AUSTRALIA,0.6172114501268252,0.2644343259691376,0.4408228880479814,2020-04-27,7 Mile Beach Gerroa New South Wales AUSTRALIA,7 Mile Beach,New South Wales,AUSTRALIA,-34.7699,150.813133
22,2020-04-27|7 km off Trigg surf beach Perth Western Australia AUSTRALIA,0.2928165647114526,-0.11657805859174092,0.08811925305985585,2020-04-27,7 km off Trigg surf beach Perth Western Australia AUSTRALIA,7 km off Trigg surf beach,Western Australia,AUSTRALIA,-31.8744999,115.7531233
