iter	Accuracy	Logloss
0	0.8540031397	0.5885777892
1	0.8649921507	0.5185215923
2	0.8618524333	0.463377008
3	0.8555729984	0.4386028611
4	0.8571428571	0.4075450008
5	0.8540031397	0.3823045844
6	0.8540031397	0.3728769605
7	0.8555729984	0.3572735355
8	0.8555729984	0.3408607676
9	0.8540031397	0.3369203846
10	0.8587127159	0.3219652627
11	0.8571428571	0.3187463178
12	0.8587127159	0.3103675117
13	0.8618524333	0.2985394736
14	0.8649921507	0.2881231423
15	0.8649921507	0.2872900059
16	0.8649921507	0.2856148255
17	0.8649921507	0.2855827446
18	0.8697017268	0.2739107938
19	0.874411303	0.2676838869
20	0.8838304553	0.2624441888
21	0.8838304553	0.2569120449
22	0.8916797488	0.252543132
23	0.8948194662	0.2434383308
24	0.896389325	0.2359251405
25	0.9010989011	0.2298979867
26	0.8995290424	0.2215127105
27	0.8995290424	0.2214972305
28	0.9042386185	0.2183405906
29	0.9105180534	0.2106958248
30	0.9073783359	0.2105905341
31	0.9073783359	0.2105843593
32	0.9089481947	0.2103876955
33	0.9105180534	0.2057417489
34	0.9152276295	0.2010358765
35	0.9199372057	0.19032977
36	0.9199372057	0.1901140989
37	0.9199372057	0.1873633764
38	0.9262166405	0.183679007
39	0.9277864992	0.1796359515
40	0.9356357928	0.1733380128
41	0.9356357928	0.1727489496
42	0.9340659341	0.1718210911
43	0.9419152276	0.1673967899
44	0.9513343799	0.1590899853
45	0.9481946625	0.1541770987
46	0.956043956	0.1519956394
47	0.9576138148	0.1495721787
48	0.9591836735	0.1445860763
49	0.967032967	0.1357724788
50	0.967032967	0.1322238781
51	0.9733124019	0.1278621189
52	0.9764521193	0.1220255425
53	0.978021978	0.1168061205
54	0.9811616954	0.1122256514
55	0.9843014129	0.1085923929
56	0.9858712716	0.1054237892
57	0.989010989	0.1015970727
58	0.989010989	0.09820906198
59	0.989010989	0.09403671358
60	0.9905808477	0.09051991654
61	0.9905808477	0.08730657941
62	0.9968602826	0.08333710034
63	0.9968602826	0.08113804273
64	0.9968602826	0.07856919105
65	0.9968602826	0.07564124078
