state,Date_Location,height_rise_max,height_rise_min,height_rise_mean,height_rise_median,height_rise_std,height_rise_var,height_rise_sem
RISING,1939.11.11_-33.95_151.244,0.8550211911949583,-0.6657873756520185,0.06758756258141067,0.08054679076257032,0.5005494097785653,0.25054971162967016,0.1444961682391815
RISING,1939.12.28_-33.922_150.901,0.5594474963574889,-0.6776520642166836,-0.005024371645658654,0.015575056371014577,0.415416665426753,0.17257100591428284,0.13136628407406628
RISING,1940.01.01_-19.359_146.885,0.8710277298086503,-0.629147597895186,0.14194871261446718,0.18301002038472652,0.47949459334180533,0.22991506504402326,0.13841816627043074
RISING,1940.01.23_-33.959_151.152,0.8837255203825255,-0.6121525567113588,0.08041145483231464,0.09075231214041013,0.48075767934598185,0.23112794625013391,0.1387827877926912
RISING,1940.02.04_-33.959_151.152,0.66848842260372,-0.47251920750453674,0.037145534243553366,0.0620679389763837,0.37306642103890897,0.13917855450678052,0.10347000847766338
RISING,1940.02.20_-33.846_151.249,0.7952787399971598,-0.5729895788199332,0.060537761622032234,0.11857265332993383,0.44486568217454225,0.19790547517662085,0.1233835405980445
RISING,1941.08.05_-33.834_151.092,0.8487829998936993,-0.6715071273737614,0.1019949855690283,0.08241010002308012,0.49816418538248647,0.24816755559779635,0.1438076132656046
RISING,1942.01.04_-33.786_151.226,0.7643203119696371,-0.5094235736488478,0.0871363877924595,0.15997797693163157,0.41951636338954285,0.175993979151587,0.11635290454593698
RISING,1942.01.18_-33.801_151.294,0.9615953016841728,-0.6483752638533012,0.13567610839934052,0.21192999521225286,0.5426306622754523,0.29444803564149596,0.15664397946763867
RISING,1942.03.04_-34.049_150.895,0.762904097048604,-0.6777895957385205,0.05957321592155037,0.12359864777551913,0.5220948853094309,0.2725830692662678,0.15071581128796338
RISING,1942.05.09_-16.919_145.778,0.7776928507746459,-0.7660415153305116,-0.006832659938791442,0.05691974447444819,0.5094887824590458,0.2595788194516009,0.15361664784651463
RISING,1942.09.12_-16.783_145.7,0.8884371673376685,-0.563486934318957,0.24654173855705186,0.3555702154714495,0.5178289807641406,0.2681468533192287,0.1494843507191831
RISING,1942.12.26_-33.781_151.215,0.6814580311001202,-0.4949596248663742,0.0873243824627636,0.11311665431391962,0.36873723342940085,0.13596714731716844,0.10644527049035123
RISING,1944.01.16_-31.99_115.763,0.13087690603595525,-0.14416960889562225,0.015108491773566593,0.016639501488605064,0.0789420606115469,0.006231848933597145,0.02038275240425451
RISING,1945.06.15_-16.783_145.7,0.6750726880334635,-0.40309534443845446,-0.008110937680237166,-0.10714634611053023,0.35221550230448445,0.12405576006360029,0.10167585753412668
RISING,1946.01.05_-33.99_151.084,0.7914693343787752,-0.5657289698760132,0.058005186628796675,0.07393196421510034,0.4326219713439225,0.18716177008950172,0.11998774619790964
RISING,1946.01.17_-19.259_146.817,1.6423864220580968,-1.547248192729491,0.1270742721512068,0.25111474239531634,1.0418680683575954,1.085489071863187,0.30076140486316655
RISING,1946.02.10_-31.934_115.764,0.24422741855038343,-0.20107150568420665,0.024320080902639978,0.027246892477567525,0.16258134831418106,0.026432694819657068,0.04345169306224447
RISING,1946.03.20_-34.9_138.489,1.1473368278786,-0.9840257012557656,0.2622684227577394,0.4377472633185763,0.7878392031617741,0.6206906100385793,0.2274295880117953
RISING,1946.04.19_-16.783_145.7,0.517291298744947,-0.5430949570825473,0.07557475227805957,0.13550994424410706,0.3367559466210608,0.11340456758464673,0.09721306821643835
RISING,1946.08.18_-16.723_145.676,0.4248720868036038,-0.28655899460057405,0.10976273204759691,0.14966048729456063,0.22780626128970075,0.05189569268279141,0.06868617214469101
RISING,1946.10.14_-33.059_151.644,0.8209812598118477,-0.5780728830457836,0.08408974839785045,0.10624907474945249,0.4627847720109925,0.21416974520526633,0.13359445634870307
RISING,1946.12.28_-34.982_138.516,1.1262641685743597,-0.7894120640373047,0.12254375341624175,0.1551137549651725,0.604841713464746,0.3658334983469699,0.17460276304299283
RISING,1947.01.14_-33.846_151.249,0.35475143682442856,-0.4389320386414188,0.021634233280165224,0.04016201269485537,0.27084471342681693,0.07335685879125457,0.0781861341027799
RISING,1947.04.06_-33.601_151.322,0.6739198213574207,-0.5882889897715435,0.11078324318587288,0.1397732546531977,0.46563098651073404,0.21681221559895936,0.1291427997930256
RISING,1947.06.16_-33.919_151.256,0.7535346386067713,-0.46619209579107607,0.1640796810312118,0.19890632462114854,0.41988480332610256,0.1763032480641998,0.13277923334023276
RISING,1947.07.24_-12.508_130.859,2.4882087462193656,-2.031787209899588,0.29465580936483166,0.45828643071534364,1.5457477949114575,2.389336245473633,0.4462189527457002
RISING,1947.11.14_-32.924_151.793,0.7895396316895068,-0.572639901491483,0.06618021231348745,0.020377687979441842,0.451555614340442,0.203902472842374,0.08855734188439585
RISING,1947.11.23_-34.982_138.516,0.2522746246739777,-0.33420876974570674,0.03775030495290846,0.1082492937423371,0.17303598616011068,0.029941452506402014,0.04995118659451613
RISING,1948.01.25_-33.676_151.307,0.9427751094991418,-0.6626672942706395,0.12534876899501882,0.18876534471871528,0.5246759443098756,0.27528484653745966,0.1514608988423139
RISING,1948.02.12_-32.805_151.961,0.7124892097993037,-0.5456382615824226,0.020973113318154674,0.02741238821597839,0.41945778296954933,0.17594483169372957,0.1163366572607043
RISING,1949.01.05_-32.028_115.75,0.1467686317272422,-0.16104632299321206,0.007883643934543235,0.0062471193990462975,0.0952624134230391,0.009074927411182019,0.024596649380463752
