Date_Location,LAT_datum_mean,HAT_datum_mean
1939.11.11_-33.95_151.244,-0.8606995391845703,1.0447637939453125
1939.12.28_-33.922_150.901,-0.8571477508544922,1.036616973876953
1940.01.01_-19.359_146.885,-1.784091796875,1.8910682678222657
1940.01.23_-33.959_151.152,-0.8590452575683594,1.0404325103759766
1940.02.04_-33.959_151.152,-0.8590452575683594,1.0404325103759766
1940.02.20_-33.846_151.249,-0.8615251159667969,1.0466612243652345
1941.08.05_-33.834_151.092,-0.8621099853515625,1.0487445831298827
1942.01.04_-33.786_151.226,-0.8621099853515625,1.0487445831298827
1942.01.18_-33.801_151.294,-0.8621099853515625,1.0487445831298827
1942.03.04_-34.049_150.895,-0.8565150451660156,1.035349349975586
1942.05.09_-16.919_145.778,-1.4884945678710937,1.5454592895507813
1942.09.12_-16.783_145.7,-1.49503173828125,1.5479745483398437
1942.12.26_-33.781_151.215,-0.8621099853515625,1.0487445831298827
1944.01.16_-31.99_115.763,-0.435899543762207,0.46491676330566406
1945.06.15_-16.783_145.7,-1.49503173828125,1.5479745483398437
1946.01.05_-33.99_151.084,-0.8580573272705078,1.0385281372070312
1946.01.17_-19.259_146.817,-1.782685546875,1.8890960693359375
1946.02.10_-31.934_115.764,-0.43631591796875,0.46526737213134767
1946.03.20_-34.9_138.489,-1.258255157470703,1.4616720581054687
1946.04.19_-16.783_145.7,-1.49503173828125,1.5479745483398437
1946.08.18_-16.723_145.676,-1.49503173828125,1.5479745483398437
1946.10.14_-33.059_151.644,-0.8721678924560546,1.0741928100585938
1946.12.28_-34.982_138.516,-1.1855183410644532,1.3907000732421875
1947.01.14_-33.846_151.249,-0.8615251159667969,1.0466612243652345
1947.04.06_-33.601_151.322,-0.8662629699707032,1.0545095825195312
1947.06.16_-33.919_151.256,-0.8606995391845703,1.0447637939453125
1947.07.24_-12.508_130.859,-4.1810540771484375,3.7985003662109373
1947.11.14_-32.924_151.793,-0.8734986114501954,1.0784809112548828
1947.11.23_-34.982_138.516,-1.1855183410644532,1.3907000732421875
1948.01.25_-33.676_151.307,-0.8651046752929688,1.0526553344726564
1948.02.12_-32.805_151.961,-0.8735684204101563,1.0794224548339844
1949.01.05_-32.028_115.75,-0.435899543762207,0.46491676330566406
1949.01.13_-33.676_151.307,-0.8651046752929688,1.0526553344726564
1949.01.14_-33.888_151.281,-0.8615251159667969,1.0466612243652345
1949.01.23_-32.94_151.768,-0.8734986114501954,1.0784809112548828
1949.04.17_-16.723_145.676,-1.49503173828125,1.5479745483398437
1949.05.16_-17.964_122.23,-4.810763854980468,4.874821472167969
1949.08.28_-16.818_145.733,-1.4937783813476562,1.5482969665527344
1949.11.12_-38.173_144.873,-0.6526578521728515,0.5670961380004883
1949.11.20_-34.012_151.207,-0.8590452575683594,1.0404325103759766
1950.01.12_-37.974_144.696,-0.6692616271972657,0.5961194229125977
1950.02.18_-31.99_115.763,-0.435899543762207,0.46491676330566406
1950.03.01_-31.934_115.764,-0.43631591796875,0.46526737213134767
1950.11.12_-23.133_150.733,-2.612990417480469,2.837691650390625
1950.12.16_26.706_-80.036,-0.652800064086914,0.6973045349121094
1951.02.01_-33.891_151.277,-0.8615251159667969,1.0466612243652345
1951.03.24_-33.869_151.209,-0.8615251159667969,1.0466612243652345
1951.03.26_-33.63_151.33,-0.8662629699707032,1.0545095825195312
1951.09.02_-23.266_150.359,-2.6903497314453126,2.924502258300781
1951.12.06_-32.947_151.76,-0.8734986114501954,1.0784809112548828
1951.12.16_-33.888_151.281,-0.8615251159667969,1.0466612243652345
1952.12.21_-38.015_140.582,-0.5611870574951172,0.6105692672729492
1953.01.20_-34.821_138.494,-1.3121221923828126,1.5130508422851563
1953.03.19_-34.721_135.879,-0.616055793762207,0.8897213745117187
1953.03.22_-33.742_151.317,-0.8638314056396484,1.0511798858642578
1954.01.22_-10.254_142.481,-2.1785107421875,2.8709426879882813
1954.06.27_-16.934_145.994,-1.4842828369140626,1.5453193664550782
1954.12.11_-38.283_144.6,-1.4889448547363282,1.3381590270996093
1955.01.17_-33.82_151.251,-0.8621099853515625,1.0487445831298827
1955.02.01._-33.834_151.092,-0.8621099853515625,1.0487445831298827
1955.02.05_-33.786_151.226,-0.8621099853515625,1.0487445831298827
1956.01.05_-33.888_151.281,-0.8615251159667969,1.0466612243652345
1956.03.11_-34.057_151.152,-0.8580573272705078,1.0385281372070312
1956.06.28_-9.444_147.18,-1.3280241394042969,1.387957305908203
1957.04.13_-10.591_142.221,-1.7100787353515625,1.8629246520996094
1957.04.23_-32.947_151.76,-0.8734986114501954,1.0784809112548828
1957.05.11_-32.66_152.152,-0.8727862548828125,1.0824812316894532
1957.07.09_-10.58_142.219,-1.7100787353515625,1.8629246520996094
1957.11.04_-30.749_152.994,-0.8760198974609374,1.1284033966064453
1958.01.19_-28.556_153.544,-0.8889581298828125,1.1653212738037109
1958.01.27_-35.207_150.552,-0.8454113006591797,1.0022213745117188
1958.06.15_-16.76_145.974,-1.4712841796875,1.5310989379882813
1958.11.23_-28.0_153.417,-0.8968395233154297,1.1862823486328125
1959.01.17_-43.163_147.855,-0.7193846893310547,0.6985523223876953
1959.01.25_-39.875_143.937,-0.5552006912231445,0.6086456298828125
1959.01.31_-31.981_115.864,-0.435899543762207,0.46491676330566406
1959.02.28_-38.173_144.873,-0.6526578521728515,0.5670961380004883
1959.04.05_-34.315_150.91,-0.8556920623779297,1.033667755126953
1959.11.09_-31.951_115.86,-0.43631591796875,0.46526737213134767
1959.11.22_-28.006_153.431,-0.8968395233154297,1.1862823486328125
