state,Date_Location,height_fall_max,height_fall_min,height_fall_mean,height_fall_median,height_fall_std,height_fall_var,height_fall_sem
FALLING,1939.11.11_-33.95_151.244,0.7104412471888891,-0.7214535613623058,-0.1101928052005311,-0.17890307374838108,0.4832498365446374,0.23353040452041876,0.13950221160744453
FALLING,1939.12.28_-33.922_150.901,0.9261102014091931,-0.7822009782936988,-0.04288986988005177,-0.1428339333511367,0.5779991933374129,0.3340830674987,0.15447678223573647
FALLING,1940.01.01_-19.359_146.885,0.8379744564104534,-0.8028634903148752,-0.12014603888529445,-0.3209883338543784,0.5578208760541599,0.31116412976183033,0.16102901647473103
FALLING,1940.01.23_-33.959_151.152,0.8555137264172125,-0.6538828888678334,-0.11004085216933572,-0.19678923880731203,0.4629775842914596,0.21434824355635554,0.13365011645971842
FALLING,1940.02.04_-33.959_151.152,0.6243625972551339,-0.403242054100203,-0.0017545345521064763,-0.059643744619890145,0.3461567901992112,0.1198245234010207,0.10437019924768699
FALLING,1940.02.20_-33.846_151.249,0.7335759039863423,-0.49703640891266004,-0.019426372547839646,-0.13286280298448516,0.41681959214953634,0.17373857239970583,0.12567583567536175
FALLING,1941.08.05_-33.834_151.092,0.7238382609374026,-0.6774281350211905,-0.0667779795697027,-0.11611908719281867,0.4448043336926117,0.19785089527172825,0.12840395089707074
FALLING,1942.01.04_-33.786_151.226,0.692974572404278,-0.6216040836727451,-0.07447206994121763,-0.16280935572778363,0.431958234543319,0.18658791638978098,0.1302403080985931
FALLING,1942.01.18_-33.801_151.294,0.8747668945144972,-0.7804078775391874,-0.11046548998401469,-0.19092387645176237,0.538905104996997,0.2904187121918243,0.15556850371883987
FALLING,1942.03.04_-34.049_150.895,0.6712669130742045,-0.7095384949836009,-0.046655490930267524,-0.062138110820131466,0.49058883774137896,0.24067740771643706,0.1416207987657054
FALLING,1942.05.09_-16.919_145.778,0.913158941669645,-0.8136388974938994,-0.021351137456961215,0.04669229819589955,0.5789381229218453,0.3351693501722696,0.16056854519350672
FALLING,1942.09.12_-16.783_145.7,0.7565870507395972,-0.7532087954305486,-0.2438565315339095,-0.3947906032380522,0.5253921361598879,0.2760368967386502,0.1516676456210119
FALLING,1942.12.26_-33.781_151.215,0.6362378812354229,-0.5673468166118102,-0.06055507868197224,-0.11031995464549793,0.3799721885689105,0.14437886408584769,0.10968852267741587
FALLING,1944.01.16_-31.99_115.763,0.16512055915677948,-0.17007902117427462,-0.027856547546164567,-0.05855433520226365,0.1315221036571402,0.01729806375039953,0.043840701219046735
FALLING,1945.06.15_-16.783_145.7,0.6627709683713827,-0.42106489175913064,-0.05934732390189542,-0.1927619631274169,0.3594234628989671,0.12918522568228516,0.10375661652889306
FALLING,1946.01.05_-33.99_151.084,0.7437183200025638,-0.6423016311832368,-0.0378600351625652,-0.09256375162472917,0.4466010443265731,0.1994524927935857,0.13465528136473848
FALLING,1946.01.17_-19.259_146.817,1.4933072176420412,-1.2811188005528147,-0.06811733896058496,-0.1702748338416728,0.8608865679309049,0.7411256828438525,0.2485165458683205
FALLING,1946.02.10_-31.934_115.764,0.23162343636780086,-0.20651408767245355,-0.0006065287042164927,-0.01374151490734212,0.16606347417422662,0.027577077454814032,0.052513881455110545
FALLING,1946.03.20_-34.9_138.489,0.9621615181230294,-1.1221090340063156,-0.22407542561882057,-0.3173284034113744,0.7559617232330927,0.571478126993547,0.21822735220283976
FALLING,1946.04.19_-16.783_145.7,0.45224286689635484,-0.6185926364786152,-0.08986869321347445,-0.09217743641737489,0.36637628667492805,0.13423158343770908,0.10576372386823261
FALLING,1946.08.18_-16.723_145.676,0.3969817459668529,-0.5022816080780433,-0.05091026772976162,-0.0996722154919699,0.2679143133093097,0.07177807927599895,0.07430606108211081
FALLING,1946.10.14_-33.059_151.644,0.7931606672250737,-0.6695534885658492,-0.08464514593272439,-0.11377305495933776,0.5055267315578914,0.25555727631960445,0.14593299727375014
FALLING,1946.12.28_-34.982_138.516,1.0645400138797352,-0.8942471050014816,-0.08551137166749749,-0.16519324521326123,0.6179298194542278,0.38183726177073446,0.17838097380109763
FALLING,1947.01.14_-33.846_151.249,0.3342976993037082,-0.45460225590368425,-0.04641734875551429,-0.059278077333840655,0.26164786684006086,0.06845960622195423,0.07553123317650025
FALLING,1947.04.06_-33.601_151.322,0.5945795074828052,-0.6463357886117338,-0.07668024067780461,-0.121834867965441,0.44511627087889855,0.19812849460113696,0.13420760532613676
FALLING,1947.06.16_-33.919_151.256,0.6789604823657264,-0.5912809239317284,-0.10972069336628612,-0.18181229522854975,0.43438504102271475,0.18869036386430557,0.11609428553191016
FALLING,1947.07.24_-12.508_130.859,2.3956004686525345,-2.264430317541387,-0.3752545335218374,-0.7633894301729721,1.6329961787673153,2.6666765198686533,0.4714053916984699
FALLING,1947.11.14_-32.924_151.793,0.667928953630289,-0.6005143388900869,-0.05498252754263499,-0.0906181415026345,0.39379817278003715,0.155077000884896,0.08395805253623437
FALLING,1947.11.23_-34.982_138.516,0.1296210878631427,-0.3469318676722518,-0.04161381249385284,0.005760549127230364,0.16515530553402774,0.027276274946038057,0.047676230054082905
FALLING,1948.01.25_-33.676_151.307,0.8619696373425301,-0.7630589050139069,-0.10964784091310624,-0.17714384375504155,0.523476268904585,0.27402740410626536,0.15111458238322154
FALLING,1948.02.12_-32.805_151.961,0.7123834265568236,-0.6175639816376637,0.005540060725392795,-0.046987695088269464,0.4382174394326346,0.19203452422289474,0.13212752938075834
