state,Date_Location,height_low_tide_max,height_low_tide_min,height_low_tide_mean
LOW TIDE,2016.07.26_-28.834_153.605,-0.40000501836171665,-0.6491009490818107,-0.5245529837217637
LOW TIDE,2016.07.28_-35.027_117.884,-0.21970622701643003,-0.21970622701643003,-0.21970622701643003
LOW TIDE,2016.09.05_-33.693_114.986,-0.06651955455644627,-0.09212644494211313,-0.0793229997492797
LOW TIDE,2016.09.15_-33.321_115.638,-0.07839925301722483,-0.24022033872663978,-0.1593097958719323
LOW TIDE,2016.09.15_-38.367_144.285,-0.2884369298890805,-0.6937504277485903,-0.49109367881883537
LOW TIDE,2016.09.17_-38.285_144.459,-0.5978786619988645,-0.7491847706202203,-0.6735317163095424
LOW TIDE,2016.09.26_-28.873_153.59,-0.45652442222829837,-0.45652442222829837,-0.45652442222829837
LOW TIDE,2016.10.12_-28.834_153.605,-0.4420336029011139,-0.4420336029011139,-0.4420336029011139
LOW TIDE,2016.10.15_-26.801_153.141,-0.7900698227201206,-0.8580318652966273,-0.824050844008374
LOW TIDE,2016.10.24_-28.702_153.614,-0.35920358202017705,-0.5102510494095313,-0.4347273157148541
LOW TIDE,2016.11.28_-38.268_144.629,-0.2715596122418971,-0.7449525118960627,-0.5082560620689799
LOW TIDE,2016.12.01_-32.313_152.518,-0.5161669791851132,-0.5936070290215599,-0.5548870041033366
LOW TIDE,2016.12.06_-36.888_149.906,-0.24645007634080562,-0.5430430596518052,-0.3947465679963054
LOW TIDE,2016.12.14_-31.878_115.752,-0.3452140342816109,-0.3452140342816109,-0.3452140342816109
LOW TIDE,2017.01.03_-36.888_149.906,-0.3405405604650432,-0.6032697097214724,-0.4719051350932578
LOW TIDE,2017.01.13_-22.042_149.484,-3.91130497190755,-4.012051436554817,-3.961678204231183
LOW TIDE,2017.02.17_-18.236_146.326,0.07577947878598744,-0.3025097222172629,-0.04344548811949867
LOW TIDE,2017.02.24_-32.579_115.654,-0.020200437733656124,-0.23618295423282268,-0.1281916959832394
LOW TIDE,2017.02.25_-31.954_115.862,-0.04350568775776175,-0.24131746263073367,-0.1424115751942477
LOW TIDE,2017.03.19_-34.072_150.718,-0.3034550246632481,-0.35119484253065386,-0.327324933596951
LOW TIDE,2017.04.02_-27.312_153.345,-0.7246909029129771,-0.7785061326335009,-0.7515985177732389
LOW TIDE,2017.04.17_-33.832_121.997,-0.08614170417121263,-0.22729474219711127,-0.15671822318416195
LOW TIDE,2017.05.06_-12.649_141.847,0.04191676066405557,-0.558450917442945,-0.2582670783894447
LOW TIDE,2017.05.27_-29.109_153.422,-0.7933776322171634,-0.8151719388457127,-0.804274785531438
LOW TIDE,2017.06.10_-38.474_145.022,-0.4068582505584299,-0.9496909619012143,-0.678274606229822
LOW TIDE,2017.06.11_-33.315_115.637,-0.10257472527895393,-0.25467545219618626,-0.1924701832711169
LOW TIDE,2017.07.14_-31.929_115.755,-0.03595395111947971,-0.1637832204055425,-0.0998685857625111
LOW TIDE,2017.09.10_-20.622_117.184,-2.1889857052871946,-2.374688723195433,-2.281837214241314
LOW TIDE,2017.09.10_-29.412_153.365,-0.5691733450052601,-0.7075028997386176,-0.6383381223719389
LOW TIDE,2017.09.14_-33.861_121.891,-0.2923639329051838,-0.2923639329051838,-0.2923639329051838
LOW TIDE,2017.09.25_-33.864_114.988,-0.07899798278432213,-0.1256238126689221,-0.10231089772662212
LOW TIDE,2017.10.22_-35.446_138.322,-0.7628678356903533,-0.898650750278024,-0.8307592929841887
LOW TIDE,2017.10.28_-32.788_152.08,-0.2085104166083306,-0.4103900416545642,-0.30945022913144743
LOW TIDE,2017.10.31_-19.136_146.842,-0.7793912085855118,-0.9450847957828866,-0.8622380021841992
LOW TIDE,2017.11.13_-33.465_151.435,-0.34508667939657867,-0.34508667939657867,-0.34508667939657867
LOW TIDE,2018.01.13_-34.494_150.938,-0.3951523567875899,-0.4135901744010721,-0.404371265594331
LOW TIDE,2018.01.14_-14.668_145.464,-0.37597063255012625,-0.9042292083656917,-0.640099920457909
LOW TIDE,2018.02.01_-32.595_115.633,-0.31506865469848216,-0.31506865469848216,-0.31506865469848216
LOW TIDE,2018.02.14_-26.681_153.122,-0.5678844023899945,-0.6556337239487076,-0.611759063169351
LOW TIDE,2018.02.15_-34.682_150.851,-0.4486408092232053,-0.6051011946365499,-0.5268710019298776
LOW TIDE,2018.02.17_-38.356_145.248,-0.15875161917337657,-0.39386273295552565,-0.2763071760644511
LOW TIDE,2018.02.23_-33.992_151.238,-0.39951832214264144,-0.4356245102981076,-0.4175714162203745
LOW TIDE,2018.03.09_-38.368_144.285,-1.0738811432046844,-1.0738811432046844,-1.0738811432046844
LOW TIDE,2018.03.09_-38.537_143.972,-0.9912248793594545,-0.9912248793594545,-0.9912248793594545
LOW TIDE,2018.03.14_-31.85_115.755,-0.0005045327699066679,-0.2176585745544451,-0.10908155366217588
LOW TIDE,2018.04.15_-33.875_114.986,-0.13516431300247658,-0.15074058274316474,-0.14295244787282066
LOW TIDE,2018.04.15_-33.961_115.077,-0.13822696183452646,-0.1535494940600086,-0.14588822794726752
LOW TIDE,2018.04.24_-33.864_114.977,0.11928457921291502,-0.2912146284989753,-0.08596502464303013
LOW TIDE,2018.04.25_-28.8_153.583,-0.47245860167207854,-0.6167967392793844,-0.5446276704757315
LOW TIDE,2018.04.25_-33.977_114.986,0.048180343680960656,-0.26290381733880136,-0.10736173682892035
LOW TIDE,2018.05.09_-28.834_153.605,-0.26673064718713163,-0.44717115185038786,-0.35695089951875975
LOW TIDE,2018.05.24_-16.918_145.774,-0.9017270421759106,-0.9017270421759106,-0.9017270421759106
LOW TIDE,2018.06.03_-28.842_153.602,-0.4188654561419816,-0.48452720415991557,-0.45169633015094857
LOW TIDE,2018.06.08_-30.069_153.195,-0.2947697319916203,-0.5299066699138627,-0.41233820095274154
LOW TIDE,2018.10.08_-21.981_152.473,-0.872053363973902,-0.9523332177541621,-0.912193290864032
LOW TIDE,2018.10.13_-31.776_115.675,-0.12176809938430164,-0.14958170799733636,-0.135674903690819
LOW TIDE,2018.10.19_-32.767_152.124,-0.2443487282961367,-0.2443487282961367,-0.2443487282961367
LOW TIDE,2018.10.24_-34.162_115.189,-0.08193248471270413,-0.17684403096173232,-0.12938825783721822
LOW TIDE,2018.11.05_-20.25_148.933,-1.304776385527784,-1.6004412350270738,-1.4526088102774288
LOW TIDE,2018.11.07_-28.863_153.594,-0.66517373883923,-0.7761026698214422,-0.7206382043303361
LOW TIDE,2018.11.11_-32.604_115.63,-0.12228902638133847,-0.2012483141566625,-0.1748343465326959
LOW TIDE,2018.11.17_-34.77_150.813,-0.19205610911536575,-0.4698443473137501,-0.3309502282145579
LOW TIDE,2018.11.18_-12.182_136.782,-0.17448789990189015,-0.6858658260332979,-0.43017686296759405
LOW TIDE,2018.12.09_-30.666_152.732,-0.5782998487670921,-0.5801602845954534,-0.5792300666812727
LOW TIDE,2019.01.10_-20.346_148.957,-0.9424108418321702,-1.0164413426940173,-0.9794260922630937
LOW TIDE,2019.01.14_-31.982_115.761,-0.11957346376411024,-0.11957346376411024,-0.11957346376411024
LOW TIDE,2019.02.04_-30.5_153.017,-0.5649616958511617,-0.5878910633556129,-0.5764263796033873
LOW TIDE,2019.02.17_-28.634_153.6,-0.6357140306931324,-0.6376733956773678,-0.6366937131852501
LOW TIDE,2019.03.25_-19.674_149.175,-0.46460137914470034,-0.6356264086496839,-0.5501138938971921
LOW TIDE,2019.04.27_-31.889_152.444,-0.20473961382291403,-0.4020879851815656,-0.3034137995022398
LOW TIDE,2019.05.14_-24.609_152.13,-0.8544775924778544,-1.0375917220398498,-0.946034657258852
LOW TIDE,2019.06.05_-28.8_153.583,-0.6692223761436092,-0.6864659770793188,-0.677844176611464
LOW TIDE,2019.06.06_-43.652_146.277,-0.4670394433949301,-0.4670394433949301,-0.4670394433949301
LOW TIDE,2019.07.09_-26.799_153.133,-0.4020459525316229,-0.6602784301355143,-0.5311621913335687
LOW TIDE,2019.07.28_-11.857_143.282,-0.3698542522199915,-1.0073250203949384,-0.688589636307465
LOW TIDE,2019.09.07_-31.725_115.725,-0.23095487480147653,-0.23095487480147653,-0.23095487480147653
LOW TIDE,2019.09.28_-12.379_130.842,-2.614401622420638,-2.614401622420638,-2.614401622420638
LOW TIDE,2019.10.05_-31.479_152.93,-0.3581637280652688,-0.3775596353832434,-0.3678616817242561
LOW TIDE,2019.10.17_-27.061_153.201,-0.564676074130311,-0.7391780121757338,-0.6519270431530224
LOW TIDE,2019.10.29_-20.268_148.717,-1.121608826773984,-1.4846324655192957,-1.30312064614664
LOW TIDE,2019.11.23_-24.917_152.483,-0.9995575164755589,-0.9995575164755589,-0.9995575164755589
LOW TIDE,2019.11.30_-24.831_152.459,-0.751916564656272,-0.9883736852899438,-0.8701451249731079
LOW TIDE,2019.12.06_-21.931_114.124,-0.3082484387351883,-0.3082484387351883,-0.3082484387351883
LOW TIDE,2019.12.30_-23.295_151.708,-0.8077858573248027,-0.9701937875731992,-0.8889898224490009
LOW TIDE,2020.01.02_-33.861_121.891,-0.043738881889291946,-0.1528272428285375,-0.09828306235891472
LOW TIDE,2020.01.05_-33.922_121.903,-0.09939093085548316,-0.10570984930256702,-0.10255039007902508
LOW TIDE,2020.01.07_-23.295_151.708,-0.7345045280077508,-0.7345045280077508,-0.7345045280077508
LOW TIDE,2020.01.17_-34.534_150.875,-0.37853014247559397,-0.5834938521887264,-0.48101199733216016
