state,Date_Location,height_high_tide_max,height_high_tide_min,height_high_tide_mean
HIGH TIDE,1939.11.11_-33.95_151.244,0.874786997362404,0.493990810118533,0.6843889037404685
HIGH TIDE,1939.12.28_-33.922_150.901,0.9306001164271676,0.43366940216463135,0.6821347592958995
HIGH TIDE,1940.01.01_-19.359_146.885,0.8736148480717634,0.41025856523291115,0.6419367066523373
HIGH TIDE,1940.01.23_-33.959_151.152,0.894821980487263,0.36244066512902623,0.6286313228081446
HIGH TIDE,1940.02.04_-33.959_151.152,0.6702603323690111,0.24184321594138478,0.45605177415519793
HIGH TIDE,1940.02.20_-33.846_151.249,0.7966617631036704,0.32895941483110386,0.5628105889673871
HIGH TIDE,1941.08.05_-33.834_151.092,0.8538186029840008,0.35080135721156924,0.602309980097785
HIGH TIDE,1942.01.04_-33.786_151.226,0.7645964125330621,0.3341060393985015,0.5493512259657818
HIGH TIDE,1942.01.18_-33.801_151.294,0.962170681366871,0.46108685348409423,0.7116287674254826
HIGH TIDE,1942.03.04_-34.049_150.895,0.7629044582391816,0.5984954833881859,0.6806999708136838
HIGH TIDE,1942.05.09_-16.919_145.778,0.5188352026145362,0.5188352026145362,0.5188352026145362
HIGH TIDE,1942.09.12_-16.783_145.7,0.8907286696196408,0.6620243531003273,0.7763765113599841
HIGH TIDE,1942.12.26_-33.781_151.215,0.6839945934693001,0.27600933793556787,0.48000196570243403
HIGH TIDE,1944.01.16_-31.99_115.763,0.1310385165010314,0.1310385165010314,0.1310385165010314
HIGH TIDE,1945.06.15_-16.783_145.7,-0.09700417022378617,-0.09700417022378617,-0.09700417022378617
HIGH TIDE,1946.01.05_-33.99_151.084,0.7947891440965316,0.2903788181185049,0.5425839811075183
HIGH TIDE,1946.01.17_-19.259_146.817,1.6423881429430411,0.7503212597554392,1.1963547013492402
HIGH TIDE,1946.02.10_-31.934_115.764,0.24422809724096944,0.24422809724096944,0.24422809724096944
HIGH TIDE,1946.03.20_-34.9_138.489,1.1516716593865257,1.04486019089932,1.0982659251429228
HIGH TIDE,1946.04.19_-16.783_145.7,0.5179907027462257,0.3076329355408281,0.41281181914352694
HIGH TIDE,1946.08.18_-16.723_145.676,0.4259422015680173,0.2509836097120789,0.3384629056400481
HIGH TIDE,1946.10.14_-33.059_151.644,0.8325002928041637,0.4142277562398056,0.6233640245219847
HIGH TIDE,1946.12.28_-34.982_138.516,1.1332004366824535,0.41768589982922477,0.7754431682558391
HIGH TIDE,1947.01.14_-33.846_151.249,0.34339829381297093,0.34339829381297093,0.34339829381297093
HIGH TIDE,1947.04.06_-33.601_151.322,0.6740166510161656,0.6299824332900289,0.6519995421530973
HIGH TIDE,1947.06.16_-33.919_151.256,0.7536109173830322,0.3831551158133578,0.568383016598195
HIGH TIDE,1947.07.24_-12.508_130.859,2.5292651050821235,1.6439573235505283,2.086611214316326
HIGH TIDE,1947.11.14_-32.924_151.793,0.794407555238611,0.3089949072730289,0.5517012312558199
HIGH TIDE,1947.11.23_-34.982_138.516,0.1464194084120083,0.14280087170276728,0.1446101400573878
HIGH TIDE,1948.01.25_-33.676_151.307,0.9430400949728778,0.340256005080934,0.641648050026906
HIGH TIDE,1948.02.12_-32.805_151.961,0.7325798373125201,0.38735512713780995,0.559967482225165
HIGH TIDE,1949.01.05_-32.028_115.75,0.14726714536004903,0.14726714536004903,0.14726714536004903
HIGH TIDE,1949.01.13_-33.676_151.307,0.7721167255255231,0.24645050468101423,0.5092836151032687
HIGH TIDE,1949.01.14_-33.888_151.281,0.8654387852623953,0.2875199420991668,0.576479363680781
HIGH TIDE,1949.01.23_-32.94_151.768,0.5711756446468295,0.2153655069411998,0.39327057579401464
HIGH TIDE,1949.04.17_-16.723_145.676,0.673657092651043,-0.023726191739767668,0.3249654504556377
HIGH TIDE,1949.05.16_-17.964_122.23,3.725005831682862,3.255183038574717,3.4900944351287895
HIGH TIDE,1949.08.28_-16.818_145.733,0.5147217963781334,0.5124986347861682,0.5136102155821508
HIGH TIDE,1949.11.12_-38.173_144.873,0.4301224436151835,0.2687833043913098,0.34945287400324665
HIGH TIDE,1949.11.20_-34.012_151.207,0.9362452542175463,0.44408273381568125,0.6901639940166138
HIGH TIDE,1950.01.12_-37.974_144.696,0.5375144838721675,0.31226620868075655,0.42489034627646205
HIGH TIDE,1950.02.18_-31.99_115.763,0.21657412661960806,-0.01279178436806463,0.10189117112577172
HIGH TIDE,1950.03.01_-31.934_115.764,0.32240743930740673,0.32240743930740673,0.32240743930740673
HIGH TIDE,1950.11.12_-23.133_150.733,2.434139728447241,2.434139728447241,2.434139728447241
HIGH TIDE,1950.12.16_26.706_-80.036,0.36433518940042675,0.3550888256568728,0.35971200752864974
HIGH TIDE,1951.02.01_-33.891_151.277,0.592588365979865,0.19207776570244756,0.39233306584115624
