Date_Location,timestamp,datetime,datum,LAT,HAT
2018.03.09_-38.368_144.285,1520514000,2018-03-08T13:00:00+00:00,MSL,-1.4305735778808595,1.2872817993164063
2018.02.23_-33.992_151.238,1519304400,2018-02-22T13:00:00+00:00,MSL,-0.8590452575683594,1.0404325103759766
2018.02.17_-38.356_145.248,1518786000,2018-02-16T13:00:00+00:00,MSL,-0.8191699981689453,0.7620406341552735
2018.02.15_-34.682_150.851,1518613200,2018-02-14T13:00:00+00:00,MSL,-0.8550900268554688,1.027861328125
2018.02.14_-26.681_153.122,1518530400,2018-02-13T14:00:00+00:00,MSL,-0.941897201538086,1.2162120056152343
2018.02.01_-32.595_115.633,1517414400,2018-01-31T16:00:00+00:00,MSL,-0.43359607696533203,0.4594403076171875
2018.01.14_-14.668_145.464,1515852000,2018-01-13T14:00:00+00:00,MSL,-1.4198112487792969,1.4805747985839843
2018.01.13_-34.494_150.938,1515762000,2018-01-12T13:00:00+00:00,MSL,-0.8555808258056641,1.0318485260009767
2018.01.05_-33.864_114.977,1515081600,2018-01-04T16:00:00+00:00,MSL,-0.4978323745727539,0.5088227462768554
2017.11.13_-33.465_151.435,1510491600,2017-11-12T13:00:00+00:00,MSL,-0.8683502197265625,1.0624525451660156
2017.10.31_-19.136_146.842,1509372000,2017-10-30T14:00:00+00:00,MSL,-1.8155152893066406,1.923305206298828
2017.10.28_-32.788_152.08,1509109200,2017-10-27T13:00:00+00:00,MSL,-0.8730878448486328,1.0808245849609375
2017.10.22_-35.446_138.322,1508592600,2017-10-21T13:30:00+00:00,MSL,-1.002825698852539,1.206549072265625
2017.09.25_-33.864_114.988,1506268800,2017-09-24T16:00:00+00:00,MSL,-0.4978323745727539,0.5088227462768554
2017.09.14_-33.861_121.891,1505318400,2017-09-13T16:00:00+00:00,MSL,-0.5073202514648437,0.6431026458740234
2017.09.10_-20.622_117.184,1504972800,2017-09-09T16:00:00+00:00,MSL,-2.866119384765625,2.82013916015625
2017.09.10_-29.412_153.365,1504965600,2017-09-09T14:00:00+00:00,MSL,-0.8917601013183594,1.165411376953125
2017.07.14_-31.929_115.755,1499961600,2017-07-13T16:00:00+00:00,MSL,-0.43631591796875,0.46526737213134767
2017.06.11_-33.315_115.637,1497110400,2017-06-10T16:00:00+00:00,MSL,-0.4827304458618164,0.4932203674316406
2017.06.10_-38.474_145.022,1497016800,2017-06-09T14:00:00+00:00,MSL,-1.540248565673828,1.4043951416015625
2017.05.27_-29.109_153.422,1495807200,2017-05-26T14:00:00+00:00,MSL,-0.8919248962402344,1.1726897430419922
2017.05.06_-12.649_141.847,1493992800,2017-05-05T14:00:00+00:00,MSL,-1.4110360717773438,1.199729232788086
2017.04.17_-33.832_121.997,1492358400,2017-04-16T16:00:00+00:00,MSL,-0.5076144409179687,0.6444322967529297
2017.04.02_-27.312_153.345,1491055200,2017-04-01T14:00:00+00:00,MSL,-1.305577392578125,1.5723896789550782
2017.03.19_-34.072_150.718,1489842000,2017-03-18T13:00:00+00:00,MSL,-0.8563024139404297,1.0347895050048828
2017.02.25_-31.954_115.862,1487952000,2017-02-24T16:00:00+00:00,MSL,-0.43631591796875,0.46526737213134767
2017.02.24_-32.579_115.654,1487865600,2017-02-23T16:00:00+00:00,MSL,-0.43346160888671875,0.4606317520141602
2017.02.17_-18.236_146.326,1487253600,2017-02-16T14:00:00+00:00,MSL,-1.668816375732422,1.7502288818359375
2017.01.13_-22.042_149.484,1484229600,2017-01-12T14:00:00+00:00,MSL,-4.686667785644532,4.7845849609375
2017.01.03_-36.888_149.906,1483362000,2017-01-02T13:00:00+00:00,MSL,-0.8271729278564454,0.9734864044189453
2016.12.14_-31.878_115.752,1481644800,2016-12-13T16:00:00+00:00,MSL,-0.4369647216796875,0.4655389404296875
2016.12.06_-36.888_149.906,1480942800,2016-12-05T13:00:00+00:00,MSL,-0.8271729278564454,0.9734864044189453
2016.12.01_-32.313_152.518,1480510800,2016-11-30T13:00:00+00:00,MSL,-0.8739630889892578,1.1038597106933594
2016.11.28_-38.268_144.629,1480251600,2016-11-27T13:00:00+00:00,MSL,-1.4889448547363282,1.3381590270996093
2016.10.24_-28.702_153.614,1477227600,2016-10-23T13:00:00+00:00,MSL,-0.8892627716064453,1.1675648498535156
2016.10.15_-26.801_153.141,1476453600,2016-10-14T14:00:00+00:00,MSL,-0.9471244049072266,1.2240269470214844
2016.10.12_-28.834_153.605,1476190800,2016-10-11T13:00:00+00:00,MSL,-0.8868402099609375,1.1673131561279297
2016.09.26_-28.873_153.59,1474812000,2016-09-25T14:00:00+00:00,MSL,-0.8866371154785156,1.1665674591064452
2016.09.17_-38.285_144.459,1474034400,2016-09-16T14:00:00+00:00,MSL,-1.4542538452148437,1.3114187622070312
2016.09.15_-38.367_144.285,1473861600,2016-09-14T14:00:00+00:00,MSL,-1.4305735778808595,1.2872817993164063
2016.09.15_-33.321_115.638,1473868800,2016-09-14T16:00:00+00:00,MSL,-0.4827304458618164,0.4932203674316406
2016.09.05_-33.693_114.986,1473004800,2016-09-04T16:00:00+00:00,MSL,-0.49083980560302737,0.4997093963623047
2016.07.28_-35.027_117.884,1469635200,2016-07-27T16:00:00+00:00,MSL,-0.5100648880004883,0.5887093353271484
2016.07.26_-28.834_153.605,1469455200,2016-07-25T14:00:00+00:00,MSL,-0.8868402099609375,1.1673131561279297
2016.07.23_-42.989_147.522,1469196000,2016-07-22T14:00:00+00:00,MSL,-0.7650376892089844,0.7426953125
2016.07.20_-27.935_153.433,1468936800,2016-07-19T14:00:00+00:00,MSL,-0.8968606567382813,1.1874234771728516
2016.07.04_-16.744_145.671,1467554400,2016-07-03T14:00:00+00:00,MSL,-1.49503173828125,1.5479745483398437
2016.06.05_-31.69_115.706,1465056000,2016-06-04T16:00:00+00:00,MSL,-0.43866294860839844,0.4656050109863281
2016.06.02_-28.265_153.578,1464789600,2016-06-01T14:00:00+00:00,MSL,-0.8898392486572265,1.171876449584961
2016.05.31_-32.579_115.654,1464624000,2016-05-30T16:00:00+00:00,MSL,-0.43346160888671875,0.4606317520141602
2016.04.19_-28.641_153.612,1460988000,2016-04-18T14:00:00+00:00,MSL,-0.8891409301757812,1.1658721160888672
