Date_Location,temperature_max,temperature_min,temperature_mean,temperature_median,temperature_std,temperature_var,temperature_sem,apparentTemperature_max,apparentTemperature_min,apparentTemperature_mean,apparentTemperature_median,apparentTemperature_std,apparentTemperature_var,apparentTemperature_sem,dewPoint_max,dewPoint_min,dewPoint_mean,dewPoint_median,dewPoint_std,dewPoint_var,dewPoint_sem,humidity_max,humidity_min,humidity_mean,humidity_median,humidity_std,humidity_var,humidity_sem,windSpeed_max,windSpeed_min,windSpeed_mean,windSpeed_median,windSpeed_std,windSpeed_var,windSpeed_sem,windBearing_max,windBearing_min,windBearing_mean,windBearing_median,windBearing_std,windBearing_var,windBearing_sem,uvIndex_max,uvIndex_min,uvIndex_mean,uvIndex_median,uvIndex_std,uvIndex_var,uvIndex_sem,cloudCover_max,cloudCover_min,cloudCover_mean,cloudCover_median,cloudCover_std,cloudCover_var,cloudCover_sem,month,month_day,season
1939.11.11_-33.95_151.244,69.13,67.7,68.53666666666668,68.78,0.7454081655934053,0.5556333333333255,0.4303616050614977,69.13,67.7,68.53666666666668,68.78,0.7454081655934053,0.5556333333333255,0.4303616050614977,,,,,,,,,,,,,,,16.1,6.93,12.303333333333335,13.88,4.78399763099161,22.886633333333336,2.762042320055538,135.0,113.0,127.66666666666667,135.0,12.701705922171769,161.33333333333337,7.333333333333335,9.0,4.0,6.0,5.0,2.6457513110645907,7.0,1.5275252316519468,0.75,0.25,0.5433333333333333,0.63,0.2610236260060252,0.06813333333333332,0.15070206073943085,11,5,spring
1939.12.28_-33.922_150.901,88.49,82.95,85.72,85.72,3.9173715677734675,15.345799999999956,2.7699999999999956,88.49,82.95,85.72,85.72,3.9173715677734675,15.345799999999956,2.7699999999999956,,,,,,,,,,,,,,,5.82,2.24,4.03,4.03,2.53144227664784,6.4082,1.7899999999999998,90.0,45.0,67.5,67.5,31.81980515339464,1012.5,22.5,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.25,0.0,0.125,0.125,0.1767766952966369,0.03125,0.125,12,3,summer
1940.01.01_-19.359_146.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,4.69,12.97,13.195,6.9963466657010835,48.94886666666667,3.4981733328505418,135.0,68.0,96.0,90.5,33.555923471125034,1126.0,16.777961735562517,9.0,0.0,4.5,4.5,3.696845502136472,13.666666666666666,1.848422751068236,1.0,0.5,0.72,0.69,0.21275964529643931,0.04526666666666667,0.10637982264821966,01,0,summer
1940.01.23_-33.959_151.15200000000002,83.98,70.69,77.58,78.07,6.658535875100474,44.33610000000004,3.8443074798980397,83.98,70.69,77.58,78.07,6.658535875100474,44.33610000000004,3.8443074798980397,,,,,,,,,,,,,,,20.8,16.1,19.233333333333334,20.8,2.7135462651912405,7.3633333333333315,1.5666666666666664,293.0,248.0,270.3333333333333,270.0,22.50185177565022,506.33333333333303,12.991450179936713,11.0,6.0,7.666666666666667,6.0,2.886751345948129,8.333333333333334,1.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,1,summer
1940.02.04_-33.959_151.15200000000002,98.06,91.02,94.53999999999999,94.53999999999999,4.978031739553294,24.780799999999996,3.519999999999999,98.06,91.02,94.53999999999999,94.53999999999999,4.978031739553294,24.780799999999996,3.519999999999999,,,,,,,,,,,,,,,16.1,12.76,14.43,14.43,2.3617366491630705,5.577800000000009,1.670000000000001,293.0,23.0,158.0,158.0,190.91883092036784,36450.0,135.0,6.0,5.0,5.5,5.5,0.7071067811865476,0.5,0.5,0.75,0.25,0.5,0.5,0.3535533905932738,0.125,0.25,02,6,summer
1940.02.20_-33.846_151.249,68.11,67.94,68.025,68.025,0.12020815280170925,0.014449999999999082,0.08499999999999729,68.11,67.94,68.025,68.025,0.12020815280170925,0.014449999999999082,0.08499999999999729,,,,,,,,,,,,,,,5.82,4.69,5.255000000000001,5.255000000000001,0.7990306627407989,0.6384500000000004,0.5650000000000002,135.0,135.0,135.0,135.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,1.4142135623730951,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,02,1,summer
1941.08.05_-33.834_151.092,65.42,46.18,57.60833333333333,59.415,7.490370929844974,56.105656666666654,3.057931127049427,65.42,46.18,57.60833333333333,59.415,7.490370929844974,56.105656666666654,3.057931127049427,,,,,,,,,,,,,,,20.8,2.24,13.636666666666665,14.52,6.969618832236571,48.575586666666666,2.8453349734453255,315.0,0.0,193.16666666666666,253.0,135.510024229452,18362.966666666667,55.32173573239044,4.0,0.0,1.0,0.5,1.5491933384829666,2.3999999999999995,0.6324555320336759,0.38,0.0,0.16666666666666666,0.13,0.13125039682479694,0.017226666666666668,0.05358275012642699,08,1,winter
1942.01.04_-33.786_151.226,107.8,69.1,90.93142857142857,98.72,17.295959478609863,299.1502142857143,6.537258209521725,107.8,69.1,90.93142857142857,98.72,17.295959478609863,299.1502142857143,6.537258209521725,,,,,,,,,,,,,,,18.9,0.0,9.70142857142857,9.18,7.571037860538956,57.32061428571429,2.8615833350915136,338.0,248.0,306.0,322.0,39.395431207184416,1552.0,16.08311744241976,6.0,0.0,2.142857142857143,0.0,2.734262327610589,7.476190476190475,1.0334540197243192,1.0,0.0,0.6814285714285714,0.88,0.4046574094806853,0.163747619047619,0.15294612452364628,01,6,summer
1942.01.18_-33.801_151.29399999999998,72.35,61.0,68.68833333333333,69.74000000000001,4.066627185600698,16.537456666666657,1.6601935964753556,72.35,61.0,68.68833333333333,69.74000000000001,4.066627185600698,16.537456666666657,1.6601935964753556,,,,,,,,,,,,,,,20.8,1.11,12.450000000000001,13.195,7.0675596920011925,49.95039999999999,2.885319162010793,293.0,45.0,94.0,56.5,98.13867739072094,9631.2,40.064947273146394,9.0,0.0,3.3333333333333335,2.5,3.8815804341359033,15.066666666666668,1.584648576533962,0.5,0.0,0.20999999999999996,0.19,0.20454828280872953,0.041839999999999995,0.08350648677398262,01,6,summer
1942.03.04_-34.049_150.895,88.94,66.07,80.04400000000001,84.6,10.54076989598008,111.10782999999991,4.71397560451897,88.94,66.07,80.04400000000001,84.6,10.54076989598008,111.10782999999991,4.71397560451897,,,,,,,,,,,,,,,27.5,0.0,11.943999999999999,10.29,12.547542787334898,157.44083,5.611431724613603,45.0,23.0,37.666666666666664,45.0,12.701705922171767,161.33333333333334,7.333333333333334,9.0,0.0,3.6,4.0,3.7815340802378077,14.3,1.6911534525287764,0.13,0.0,0.026000000000000002,0.0,0.05813776741499454,0.0033800000000000006,0.026000000000000002,03,2,autumn
